Gene,21.21 Days,37.33 Days,52.96 Days,68.08 Days,83.08 Days,98.08 Days,115 Days,134.96 Days,157.92 Days,180.88 Days,202 Days
SNORD45C,19.59794455,14.61611706,9.891469904,6.82884544,10.0315378,9.84079437,6.872030781,4.930094958,2.681108986,10.11263745,10.19237813
SNORD46,76.22590541,54.13082118,61.14866193,42.66718396,48.41904604,44.9784633,36.56685395,54.83306972,42.91801376,41.35010429,38.88640393
SNORD47,45.94712739,35.50325322,31.05662461,26.90330884,34.60748215,25.6035673,20.48691773,18.7031749,21.98753065,24.92366903,28.5730979
SNORD48,8.929709385,11.50011238,9.65664871,6.867423713,5.125513008,3.618731206,2.836653236,4.398716836,4.950910794,3.937986348,6.559065702
SNORD49A,88.00315559,68.81335484,60.75035059,118.7058174,87.46537322,24.86635934,8.991063207,16.64166897,39.22371367,70.35765908,45.26260978
SNORD49B,0.476048,0.680305,0,1.903301866,1.060647643,0,0,0.483814,0,0.818392,0
SNORD4A,12.42351323,9.666591239,8.003532885,6.512120165,10.85325712,7.394359908,9.235780061,3.932664985,5.044100087,3.220344532,5.406595816
SNORD4B,5.892289535,6.79515605,8.22977284,5.944320409,3.490594876,1.548492601,7.389364797,3.442149065,1.9580555,1.916522141,2.548243605
SNORD5,2.886778529,2.219994447,0,0.985916172,2.629771258,4.293419977,4.251441378,2.469621407,3.185380176,5.616860124,8.612683045
SNORD50A,7.884282212,7.487616925,7.091309526,4.37447918,11.2787772,5.825122802,3.020241831,8.311835484,2.099737312,6.439324214,5.3390916
SNORD50B,19.30390282,21.97802381,13.04357491,17.21131528,22.14905077,17.10984476,16.79865752,10.22651759,18.26096193,7.80770833,13.20987321
SNORD51,10.24234173,6.476500857,2.635233948,7.341255995,4.579440747,5.154712038,2.04738179,4.358929841,2.592426363,3.128725107,1.054751
SNORD52,5.144794536,1.779699547,4.603160558,4.893494351,3.110449507,3.071255383,2.336224931,3.882305102,1.769683731,2.175028755,8.77032482
SNORD53,1.039520245,1.692799192,2.311272044,2.162446625,1.1095625,1.995590588,3.737321303,3.002275232,0,1.484429595,4.543626764
SNORD53B,12.04028714,10.0772178,7.579610901,10.67396295,12.29993672,4.422118657,5.200980815,6.754245048,7.317476851,6.505702698,12.77615551
SNORD54,3.301899128,9.8027719,5.840148913,5.426547097,3.735750745,5.16707671,1.222638,2.435961453,4.053861466,2.620372711,3.899367981
SNORD55,6.990201135,3.962130903,4.458254679,3.792968461,4.578179624,4.830717905,2.133222952,4.010543081,3.049810951,1.930183623,3.767813386
SNORD56,1.413714075,0.561504392,1.075982047,1.986530866,0.4696992025,1.009134492,1.4312685,0,0.9674995,0.922628,2.729890577
SNORD56B,4.688639763,5.230898249,11.43997943,8.952607193,8.137511359,8.032274574,7.257647658,2.914929513,7.763178921,7.806181145,12.38126929
SNORD57,2.852818459,7.275333464,3.723744646,2.076236423,0.586347,1.580081078,1.488218,0.4815835,2.103075354,2.329387717,2.089604
SNORD58A,8.428539447,9.803816485,6.598567268,7.776647528,4.267313891,5.69529783,4.202871555,6.752207714,5.018966299,3.043867241,1.220452742
SNORD58C,22.58825039,19.68066194,22.5633411,16.30099875,6.71409253,12.08898342,11.69252177,8.902577281,12.22901805,6.952349819,5.513187773
SNORD59A,14.78507277,13.23106044,13.37120044,10.10003096,7.381042658,6.903875709,7.584612579,5.881759244,2.628739964,6.960494794,5.750936798
SNORD59B,0,0,0,0,0,0.5462755,0,1.021704986,0,0.486865,0
SNORD6,0.9364375135,0.5604414515,5.463078477,1.7934935,3.281674377,4.003239226,2.259297076,1.461352455,1.622018279,2.29149022,2.724723096
SNORD60,14.62004577,16.07603402,10.92402045,11.84467774,14.46584149,15.2264154,14.52992404,9.626414801,14.20262465,15.38565747,15.73680814
SNORD61,0.476771,1.147768,1.615842089,0,0,1.053964087,0,0.9962848775,0,0.470746484,0
SNORD62A,14.26712691,11.0275469,7.680439759,9.992518964,8.562000203,6.266083298,5.43577612,5.227315012,6.012485502,4.398776709,4.817273267
SNORD62B,14.26712691,11.0275469,7.680439759,9.992518964,8.562000203,6.266083298,5.43577612,5.227315012,6.012485502,4.398776709,4.817273267
SNORD63,17.78595956,27.30965241,17.9917779,12.33579925,23.06148429,9.853683525,14.53451478,7.590380583,15.67465296,7.125075438,17.56861331
SNORD63B,44.93918157,55.09548334,40.66468874,44.47395683,44.47627763,30.96039211,36.65681495,27.37116086,31.29541398,17.32983489,25.04918033
SNORD64,0,0,0,0,0,0,0,0,0,0,1.465933093
SNORD65,4269.54254,3697.589323,4232.86453,4384.194992,5205.129014,5232.216867,4576.526799,4140.500991,3980.361584,4294.500333,4567.03399
SNORD65C,6.572062715,11.08498392,5.308428907,7.939219699,6.959544719,5.992634655,6.526994815,7.232124309,4.420085772,2.752390554,2.669528992
SNORD66,0,0.571361,0.5142625,1.006498653,0.550052,0,1.060538304,0,0.54229205,0,0
SNORD67,49.5936469,45.86883123,44.5543577,54.64865886,61.23094153,62.99277797,74.92024,91.04564189,103.4596638,100.8698053,85.70722826
SNORD68,27.17831921,24.74377638,14.87914108,11.14279052,17.8186307,12.70981654,23.44028318,22.60142217,18.78902261,18.85033518,14.18221039
SNORD69,8.24564599,13.31202381,7.744870752,8.140004099,15.00024935,10.46848342,7.88273182,8.46623262,9.49573751,8.098001312,5.171082889
SNORD7,0.5287565,1.118081,1.633779626,0.5459142375,0,0,0,1.009010872,1.638828735,0,0
SNORD70,1.615946074,2.237808271,5.484336649,1.617252144,3.141980793,2.002709559,3.5440925,0.9973829925,0.531117729,0.5334140905,1.507464578
SNORD70B,7.0120642,3.454470145,9.81239191,1.560498889,2.372820193,4.27606833,6.908074458,2.007687706,3.560253739,3.984182685,4.015408
SNORD71,18.66622549,16.12881185,20.27037556,18.84853728,17.59706977,12.47361891,11.3843971,21.91017537,13.08067255,12.51710241,8.639136737
SNORD72,6.26318922,8.996337225,4.546596506,4.844272054,4.695968977,2.059358142,2.166494127,1.92919597,2.104545703,3.998454566,2.516001936
SNORD73B,6.893456423,6.317482123,6.656252095,4.243556577,5.684919743,3.596181194,1.651611298,2.927489135,4.091130847,0.9716895,3.550998851
SNORD74,16.66811085,14.14605156,9.068184635,11.75359421,14.50866794,10.64189409,11.51891461,10.75834217,13.9553686,10.14410703,12.61475539
SNORD74B,2.41409971,2.211895951,1.584365869,2.131672959,3.086811352,1.56247861,2.657003958,1.9005985,0.9682295,2.814395874,1.0184175
SNORD75,3.529812146,1.814641528,2.555300557,0.4292143485,1.548935168,1.812382551,0.9687973885,1.9521775,0.571582565,0.868495412,1.148050991
SNORD76,46.32167416,40.83054455,36.74259445,46.15703356,37.46792094,51.49566757,36.00248027,58.53587129,29.66231614,45.13917665,54.6074734
SNORD77,0,0,0.5111675,0,0.552878,0,0.4604805,0,0,0,0.5688928425
SNORD78,7.585006372,12.9520454,7.817989958,8.064727136,4.178692301,7.752477986,3.219804785,2.353533022,5.714638453,3.060724883,5.386608444
SNORD79,13.17006532,5.044554257,4.476856047,5.82901607,9.907850235,6.158544813,3.156370939,2.437944228,3.730562767,2.494054497,5.094791411
SNORD8,11.04599803,6.438527774,6.911561071,1.6056155,6.261096552,7.637122104,7.291491631,5.093196123,8.285060726,10.62795497,8.735086148
SNORD80,36.70067169,28.24411619,19.63568525,16.11644092,17.84059302,16.60987976,13.9345471,17.99356615,11.76480569,11.95414285,18.37913836
SNORD81,5.610549496,3.326091144,7.39060199,5.337783229,4.261075427,2.112176807,3.162694489,3.42807083,3.131703142,1.484646465,0
SNORD82,1.512740711,1.720249187,3.205859399,1.552132816,0.565229,1.041413995,1.454567,0.474746,1.026710294,1.014280949,0
SNORD83A,23.42584907,14.00115093,17.50442768,17.95829806,24.21054151,20.6499346,16.67934219,23.80950042,20.23323834,15.57455486,21.80463449
SNORD83B,34.8768695,28.31396526,25.19745661,24.38070442,31.36300381,33.40763599,35.14614948,50.94445725,44.1306983,55.27908312,49.12141849
SNORD84,27.2955629,24.22157895,18.76316223,20.24981258,22.03929843,14.03825512,21.39370138,16.71916203,19.61662847,18.5132574,16.86157635
SNORD87,1.517258328,2.817532972,1.09502797,1.58266581,1.0961265,2.607958156,2.604336524,4.011514136,1.053705706,0.987787416,0
SNORD88A,3.177080458,2.708373389,2.186596801,2.11555104,3.224233972,1.016071132,0.507464,0.487932,0,1.4602415,0
SNORD88B,12.75373099,6.9328098,6.561369886,6.475129492,3.181723412,2.557270273,2.56774134,2.033074978,3.773822595,1.543440723,2.55261955
SNORD88C,6.397796644,3.257663039,2.733208249,3.783497153,1.063473511,0.5107945,4.161014598,3.982114953,0.5116505,1.509763542,1.529207583
SNORD89,21.58496668,15.54200425,16.84204564,11.64058451,19.20499032,15.31883492,22.61491991,33.4456329,27.24715263,26.01293487,27.18169951
SNORD9,2.664228615,2.72481861,2.707897237,4.821984049,3.105262253,5.664755331,2.082451,3.985080697,3.638607734,6.386127532,8.180523385
SNORD90,0,0,0.5405215505,1.062836861,0.546995,0.511003,0.5254289525,1.011412647,2.110752119,1.505465453,1.022878248
SNORD91A,1.574903609,1.068199825,0,1.618372311,0,0.508584,0,0,0.5153085,1.005970235,0
SNORD91B,5.940067096,7.880235956,3.265569079,4.334688949,4.179379074,3.038512845,3.064920465,7.049984155,7.831822553,5.420442845,5.085640032
SNORD92,0,1.126098884,0.54314,0.545558,0,0,1.090725672,1.002809172,0,2.031401283,0.5038797885
SNORD93,12.49333993,13.08105849,14.76058467,20.32116264,19.28504279,24.1072932,24.33773325,29.20653075,32.79831523,24.08056014,16.82027851
SNORD94,113.5676389,107.10619,109.7605315,116.0339289,146.0469828,151.4013418,197.6797409,263.4257527,282.8920727,299.698982,336.3072004
SNORD95,5.567732319,8.319504475,4.611966396,8.238482758,6.799739532,3.615288508,4.873586589,3.842255552,4.532687023,3.502826375,6.857284943
SNORD96A,24.38927937,26.33343346,23.85640288,24.45709228,24.45839458,15.38287986,15.7968487,15.15397688,5.187686809,11.10270777,18.9305037
SNORD96B,5.194661187,2.239824378,1.592666949,4.623356589,1.034728018,3.2103675,1.086990148,1.956452353,0.5582184,1.374793592,2.124335031
SNORD97,300.6813656,270.3587344,294.462178,285.6172752,321.428338,309.2867829,323.4903943,346.486903,317.9508871,359.327939,330.1694524
SNORD98,9.886000827,13.31618105,6.982463025,7.277951691,12.38855774,15.22821069,9.670551685,9.019843404,9.009757155,9.75290646,11.15037917
SNORD99,0.5113635,0.575903,0,2.176727,3.269021578,1.013657573,0.561087719,2.557697806,4.207235935,4.566749296,4.081371688
SNPH,343.7402222,339.3955724,324.3049481,351.5788931,374.4063899,348.2125527,336.9688813,370.2397485,355.6008013,444.7230807,485.2733543
SNRK,579.6570561,492.3846032,529.636283,586.8256053,590.0597923,556.4456598,618.1068132,580.5323644,595.6373846,614.1728799,590.5898734
SNRK-AS1,45.73793605,40.96747087,32.22338552,56.58621671,58.74316847,69.21329717,63.28913495,40.57812121,44.90082611,53.65967932,50.51085625
SNRNP200,4654.053247,4138.077488,3578.895521,3831.681885,3723.565092,3565.988505,3209.639733,2999.219243,2977.933346,3340.947566,3355.39329
SNRNP25,136.8933895,114.5128485,118.6382722,122.9970693,129.1755941,109.6465885,97.58755037,93.46553634,81.03878895,97.70974435,124.6107345
SNRNP27,531.6586908,449.2264422,453.2728988,508.0643152,500.4935146,461.5347394,455.2560523,413.8453478,456.9097707,542.6327737,516.137131
SNRNP35,170.5405624,178.974281,180.8045952,174.2118882,184.2315641,176.1372031,167.2053468,182.0112711,158.2786913,162.2119651,166.2831377
SNRNP40,522.4512851,470.2146159,342.8332219,392.1798411,364.0329292,343.5480273,300.9861125,291.9517544,277.0083713,293.2687432,330.0629007
SNRNP48,382.4586757,364.813215,298.7109818,335.1349389,366.5340424,343.0242165,331.5571415,322.3809742,325.0391212,358.6513938,387.1222607
SNRNP70,1206.654738,1087.927583,974.0040895,917.8745003,1077.078798,1025.934322,913.6996468,889.9160432,873.1461931,939.8968027,1053.215471
SNRPA,999.582088,795.3458144,604.3036825,598.2508061,567.8739694,466.7969813,362.6184849,366.9040704,325.5425612,363.00837,341.6927485
SNRPA1,346.07614,257.3175119,224.9889717,211.2554042,182.2944629,168.857681,156.5623021,160.3726893,159.8121946,173.1820751,173.1159341
SNRPB,1151.76956,1025.694455,813.8564905,771.2687386,728.0821265,593.2254831,644.4799028,551.0198399,508.6282374,584.4242568,597.9219811
SNRPB2,878.9931416,721.5681502,631.1461229,618.3946453,598.9422546,605.8701575,526.2298544,501.8003529,452.0662002,548.0295229,498.5846933
SNRPC,1060.712223,817.2040903,766.4047739,764.0200425,690.6073448,638.1070143,556.3740324,518.5996553,493.9030254,591.8961004,580.7189561
SNRPD1,891.2491895,675.728725,643.1351408,703.2776222,675.4078289,593.5507348,551.3995699,481.511423,502.7090342,504.9737348,549.1511833
SNRPD2,1182.962337,966.01895,990.494999,982.2164715,997.5933035,908.382982,821.5624998,831.0957347,739.4986567,842.921466,851.6305651
SNRPD3,967.3985387,845.9157254,734.6415685,803.2480845,802.7826608,832.5297716,742.0044542,749.3158295,726.2815288,865.9722722,881.5109539
SNRPE,545.3158905,400.1295941,370.2725289,357.4184505,345.39213,337.2771866,308.9558789,276.4768339,275.7926595,266.4408737,267.8122085
SNRPF,203.8173911,185.9348097,155.0185937,150.9200445,143.0731417,136.0892588,125.0467921,111.9731999,118.0711771,117.1583545,122.053989
SNRPG,495.9355551,382.5239686,358.4898182,350.1678384,352.9631917,322.6711268,313.0460539,318.298465,279.7881196,328.7489275,355.795896
SNRPN,252.8166019,227.7126928,262.5246777,259.4072238,251.9599602,280.0574065,290.8190854,242.0644553,272.289645,324.1111852,371.4850743
